Artist ID, Artist Name, Popularity, Genres, Images
2uWcrwgWmZcQc3IPBs3tfU, Apink, 54, k-pop || k-pop girl group, https://i.scdn.co/image/ab6761610000e5eb5d7e6f087811f89d7c8f0706 (size: 640) || https://i.scdn.co/image/ab676161000051745d7e6f087811f89d7c8f0706 (size: 320) || https://i.scdn.co/image/ab6761610000f1785d7e6f087811f89d7c8f0706 (size: 160)
0qlWcS66ohOIi0M8JZwPft, GFRIEND, 61, k-pop || k-pop girl group, https://i.scdn.co/image/ab6761610000e5ebd0701912e6fccf8427bc7361 (size: 640) || https://i.scdn.co/image/ab67616100005174d0701912e6fccf8427bc7361 (size: 320) || https://i.scdn.co/image/ab6761610000f178d0701912e6fccf8427bc7361 (size: 160)
2019zR22qK2RBvCqtudBaI, OH MY GIRL, 56, k-pop || k-pop girl group, https://i.scdn.co/image/ab6761610000e5eb5cd460490fb1c55b8ed8c40b (size: 640) || https://i.scdn.co/image/ab676161000051745cd460490fb1c55b8ed8c40b (size: 320) || https://i.scdn.co/image/ab6761610000f1785cd460490fb1c55b8ed8c40b (size: 160)
4SpbR6yFEvexJuaBpgAU5p, LE SSERAFIM, 82, k-pop girl group, https://i.scdn.co/image/ab6761610000e5ebd7d7064b17d00c6f8755eae6 (size: 640) || https://i.scdn.co/image/ab67616100005174d7d7064b17d00c6f8755eae6 (size: 320) || https://i.scdn.co/image/ab6761610000f178d7d7064b17d00c6f8755eae6 (size: 160)
2AfmfGFbe0A0WsTYm0SDTx, (G)I-DLE, 76, k-pop girl group, https://i.scdn.co/image/ab6761610000e5eb7fd16327c86d500f83be1d6a (size: 640) || https://i.scdn.co/image/ab676161000051747fd16327c86d500f83be1d6a (size: 320) || https://i.scdn.co/image/ab6761610000f1787fd16327c86d500f83be1d6a (size: 160)
6rJqqRce0Kvo2dJUXoHleC, Alabama, 67, contemporary country || country || country road || country rock, https://i.scdn.co/image/e62bc7c5b919ceb8145d0c73e8d04c7b8b066f73 (size: 960) || https://i.scdn.co/image/474f5b02a571f22e02f4395afbd89a5c6c95e0fe (size: 640) || https://i.scdn.co/image/44c6b5a091604a17e619208c3b1fbb0e20560cae (size: 200) || https://i.scdn.co/image/dfcc6e475684de78f1cbe5016c3a5dcddddaf70c (size: 64)
3KonOYiLsU53m4yT7gNotP, TREASURE, 66, k-pop boy group, https://i.scdn.co/image/ab6761610000e5eb7f76de4231462f7e23fa6299 (size: 640) || https://i.scdn.co/image/ab676161000051747f76de4231462f7e23fa6299 (size: 320) || https://i.scdn.co/image/ab6761610000f1787f76de4231462f7e23fa6299 (size: 160)
5qRSs6mvI17zrkJpOHkCoM, iKON, 60, k-pop || k-pop boy group, https://i.scdn.co/image/ab6761610000e5eb8eb5e57e526ceb14f06ea203 (size: 640) || https://i.scdn.co/image/ab676161000051748eb5e57e526ceb14f06ea203 (size: 320) || https://i.scdn.co/image/ab6761610000f1788eb5e57e526ceb14f06ea203 (size: 160)
6YVMFz59CuY7ngCxTxjpxE, aespa, 81, k-pop girl group, https://i.scdn.co/image/ab6761610000e5eb573935eb61a1897aeb43c531 (size: 640) || https://i.scdn.co/image/ab67616100005174573935eb61a1897aeb43c531 (size: 320) || https://i.scdn.co/image/ab6761610000f178573935eb61a1897aeb43c531 (size: 160)
3qNVuliS40BLgXGxhdBdqu, TAEYEON, 66, k-pop, https://i.scdn.co/image/ab6761610000e5eb5e97e9ea9133fbfa41e27498 (size: 640) || https://i.scdn.co/image/ab676161000051745e97e9ea9133fbfa41e27498 (size: 320) || https://i.scdn.co/image/ab6761610000f1785e97e9ea9133fbfa41e27498 (size: 160)
